"pls_id","chd_id","rcs_id"
"3589","2702","83"
"3590","2301","83"
"3591","2302","83"
"3592","2679","5"
"3593","2405","1000"
"3594","2433","94"
"3595","2548","5"
"3596","1712","83"
"3598","2667","5"
"3601","2684","94"
"3602","2685","94"
"3603","2556","83"
"3604","906","2"
"3606","2776","94"
"3607","2798","26"
"3608","2489","83"
"3609","2089","83"
"3610","1696","94"
"3611","2672","5"
"3612","2671","5"
"3613","2369","94"
"3614","2370","94"
"3615","2375","94"
"3617","2156","92"
"3618","2620","83"
"3619","2194","94"
"3622","2306","1000"
"3623","2307","1000"
"3624","2428","26"
"3625","2039","1002"
"3626","2585","83"
"3627","1251","68"
"3628","2772","94"
"3629","2729","83"
"3630","2728","83"
"3631","1667","5"
"3632","1524","83"
"3634","2049","33"
"3635","2050","33"
"3636","2664","94"
"3637","2146","1000"
"3638","2146","5"
"3640","2321","3"
"3642","2472","1000"
"3643","2472","5"
"3644","2471","1000"
"3645","2471","5"
"3647","2190","94"
"3648","2483","94"
"3649","2799","94"
"3652","2576","5"
"3653","2577","5"
"3654","2716","1000"
"3655","2715","1000"
"3656","2374","94"
"3657","2412","4"
"3658","1806","83"
"3659","2856","93"
"3660","2857","4"
"3662","2642","1"
"3663","2643","1"
"3664","2644","1"
"3665","2545","1000"
"3667","1897","94"
"3668","1898","94"
"3669","2526","1"
"3671","1545","1000"
"3672","1545","68"
"3673","2740","94"
"3674","2871","4"
"3675","1465","83"
"3676","2666","94"
"3677","2271","68"
"3678","2704","1000"
"3679","2459","33"
"3680","2705","1000"
"3682","2763","4"
"3683","2764","4"
"3684","2882","4"
"3685","2637","68"
"3686","2638","68"
"3687","2737","1000"
"3688","2481","83"
"3689","2730","5"
"3690","2731","5"
"3692","2731","4"
"3694","2730","4"
"3695","2895","26"
"3696","2649","1000"
"3697","2504","83"
"3698","2769","83"
"3699","2784","1000"
"3700","2783","1000"
"3701","1750","33"
"3702","2739","83"
"3704","2681","1000"
"3705","2646","94"
"3709","2432","103"
"3712","2824","83"
"3717","2694","83"
"3720","2746","83"
"3722","2629","94"
"3723","2514","1"
"3724","965","94"
"3725","2584","1"
"3726","2584","5"
"3728","2254","94"
"3729","1566","83"
"3730","2697","1"
"3732","2656","26"
"3733","2296","83"
"3734","2297","83"
"3735","2121","94"
"3736","2120","94"
"3737","2558","4"
"3738","2557","4"
"3741","2589","1"
"3742","2848","94"
"3743","2445","1000"
"3744","2305","1000"
"3745","2730","1000"
"3746","2731","1000"
"3747","2476","4"
"3748","2219","103"
"3749","2220","103"
"3750","2249","33"
"3751","2528","94"
"3754","2703","1019"
"3757","2512","83"
"3758","2805","33"
"3760","2668","1022"
"3761","1838","94"
"3763","2939","5"
"3764","2332","83"
"3765","2509","5"
"3766","2510","5"
"3767","2510","1"
"3768","2509","1"
"3770","2551","83"
"3772","2782","94"
"3773","2096","94"
"3774","2201","94"
"3775","2931","1022"
"3776","2484","94"
"3778","2653","2"
"3779","868","5"
"3781","2115","68"
"3782","2855","1"
"3783","2919","1022"
"3784","2920","1022"
"3785","2143","5"
"3786","2143","1019"
"3787","2894","1022"
"3788","2099","83"
"3790","564","83"
"3791","565","83"
"3792","2854","83"
"3793","2645","94"
"3795","2097","83"
"3796","2427","83"
"3799","2688","83"
"3801","2803","1000"
"3802","2804","1000"
"3803","2936","94"
"3804","1574","5"
"3805","1573","5"
"3807","2631","83"
"3808","2264","68"
"3810","2819","94"
"3811","2820","94"
"3812","2821","94"
"3813","2822","94"
"3814","3009","1022"
"3815","3012","5"
"3816","3011","5"
"3817","1194","5"
"3818","2954","1000"
"3819","2953","1000"
"3820","2952","1000"
"3821","2745","1000"
"3822","2734","1000"
"3823","2735","1000"
"3824","1634","33"
"3825","2860","1019"
"3826","2861","1019"
"3827","2807","33"
"3828","2808","33"
"3829","2809","33"
"3830","1365","92"
"3831","2605","4"
"3832","2605","103"
"3836","2801","94"
"3837","2789","94"
"3838","2788","94"
"3839","2597","94"
"3841","2898","94"
"3842","2897","94"
"3843","2896","94"
"3845","2877","1000"
"3846","2544","2"
"3847","2308","94"
"3848","1679","83"
"3849","1697","83"
"3851","2068","94"
"3852","1788","1024"
"3853","2677","83"
"3854","2000","1"
"3855","2958","33"
"3856","2836","1000"
"3857","2766","83"
"3858","310","94"
"3859","2657","5"
"3861","2410","1000"
"3862","2409","94"
"3863","2400","94"
"3865","2691","33"
"3866","2778","1000"
"3867","2777","1000"
"3868","2183","83"
"3869","2846","83"
"3870","2393","83"
"3871","2948","94"
"3873","2602","33"
"3874","2845","93"
"3875","2845","1000"
"3877","2874","1022"
"3878","2876","1022"
